"(p,d,q)","(P,D,Q,m)",AIC
"(5, 1, 5)","(0, 0, 0, 0)",33099.4
"(1, 1, 3)","(0, 0, 0, 0)",33099.9
"(4, 1, 1)","(0, 0, 0, 0)",33100.5
"(6, 1, 4)","(0, 0, 0, 0)",33100.8
"(2, 1, 4)","(0, 0, 0, 0)",33101.0
"(3, 1, 5)","(0, 0, 0, 0)",33101.0
"(3, 1, 6)","(0, 0, 0, 0)",33101.4
"(2, 1, 3)","(0, 0, 0, 0)",33101.6
"(1, 1, 4)","(0, 0, 0, 0)",33101.7
"(5, 1, 1)","(0, 0, 0, 0)",33102.3
"(6, 1, 1)","(0, 0, 0, 0)",33102.4
"(4, 1, 5)","(0, 0, 0, 0)",33102.8
"(2, 1, 5)","(0, 0, 0, 0)",33102.9
"(5, 1, 2)","(0, 0, 0, 0)",33104.5
"(2, 1, 6)","(0, 0, 0, 0)",33104.7
"(3, 1, 4)","(0, 0, 0, 0)",33105.5
"(5, 1, 6)","(0, 0, 0, 0)",33105.9
"(4, 1, 2)","(0, 0, 0, 0)",33106.0
"(4, 1, 6)","(0, 0, 0, 0)",33106.3
"(6, 1, 2)","(0, 0, 0, 0)",33106.3
"(3, 1, 1)","(0, 0, 0, 0)",33106.4
"(6, 1, 5)","(0, 0, 0, 0)",33106.8
"(3, 1, 3)","(0, 0, 0, 0)",33108.0
"(2, 1, 2)","(0, 0, 0, 0)",33108.0
"(2, 1, 1)","(0, 0, 0, 0)",33109.1
"(3, 1, 2)","(0, 0, 0, 0)",33110.5
"(5, 1, 3)","(0, 0, 0, 0)",33112.0
"(4, 1, 4)","(0, 0, 0, 0)",33112.1
"(4, 1, 3)","(0, 0, 0, 0)",33113.0
"(5, 1, 4)","(0, 0, 0, 0)",33114.6
"(0, 1, 6)","(0, 0, 0, 0)",33114.8
"(6, 1, 6)","(0, 0, 0, 0)",33115.4
"(6, 1, 3)","(0, 0, 0, 0)",33120.3
"(1, 1, 6)","(0, 0, 0, 0)",33132.8
"(0, 1, 5)","(0, 0, 0, 0)",33134.2
"(1, 1, 2)","(0, 0, 0, 0)",33134.4
"(0, 1, 4)","(0, 0, 0, 0)",33173.7
"(1, 1, 5)","(0, 0, 0, 0)",33176.9
"(1, 1, 1)","(0, 0, 0, 0)",33226.7
"(0, 1, 3)","(0, 0, 0, 0)",33313.6
"(6, 1, 0)","(0, 0, 0, 0)",33381.7
"(5, 1, 0)","(0, 0, 0, 0)",33399.4
"(4, 1, 0)","(0, 0, 0, 0)",33418.3
"(0, 1, 2)","(0, 0, 0, 0)",33434.0
"(0, 1, 1)","(0, 0, 0, 0)",33435.1
"(3, 1, 0)","(0, 0, 0, 0)",33451.4
"(2, 1, 0)","(0, 0, 0, 0)",33465.1
"(1, 1, 0)","(0, 0, 0, 0)",33486.8
"(0, 1, 0)","(0, 0, 0, 0)",33916.6
