"(p,d,q)","(P,D,Q,m)",AIC
"(5, 1, 5)","(0, 0, 0, 0)",33099.4
"(1, 1, 3)","(0, 0, 0, 0)",33099.9
"(4, 1, 1)","(0, 0, 0, 0)",33100.5
"(6, 1, 4)","(0, 0, 0, 0)",33100.8
"(2, 1, 4)","(0, 0, 0, 0)",33101.0
"(3, 1, 5)","(0, 0, 0, 0)",33101.0
"(3, 1, 6)","(0, 0, 0, 0)",33101.4
"(2, 1, 3)","(0, 0, 0, 0)",33101.6
"(1, 1, 4)","(0, 0, 0, 0)",33101.7
"(5, 1, 1)","(0, 0, 0, 0)",33102.3
"(6, 1, 1)","(0, 0, 0, 0)",33102.4
"(4, 1, 5)","(0, 0, 0, 0)",33102.8
"(2, 1, 5)","(0, 0, 0, 0)",33102.9
"(5, 1, 2)","(0, 0, 0, 0)",33104.5
"(2, 1, 6)","(0, 0, 0, 0)",33104.7
"(3, 1, 4)","(0, 0, 0, 0)",33105.5
"(5, 1, 6)","(0, 0, 0, 0)",33105.9
"(4, 1, 2)","(0, 0, 0, 0)",33106.0
"(4, 1, 6)","(0, 0, 0, 0)",33106.3
"(6, 1, 2)","(0, 0, 0, 0)",33106.3
"(3, 1, 1)","(0, 0, 0, 0)",33106.4
"(6, 1, 5)","(0, 0, 0, 0)",33106.8
"(3, 1, 3)","(0, 0, 0, 0)",33108.0
"(2, 1, 2)","(0, 0, 0, 0)",33108.0
"(2, 1, 1)","(0, 0, 0, 0)",33109.1
"(3, 1, 2)","(0, 0, 0, 0)",33110.5
"(5, 1, 3)","(0, 0, 0, 0)",33112.0
"(4, 1, 4)","(0, 0, 0, 0)",33112.1
"(4, 1, 3)","(0, 0, 0, 0)",33113.0
"(2, 0, 3)","(0, 0, 0, 0)",33114.2
"(5, 1, 4)","(0, 0, 0, 0)",33114.6
"(5, 0, 1)","(0, 0, 0, 0)",33114.7
"(0, 1, 6)","(0, 0, 0, 0)",33114.8
"(6, 1, 6)","(0, 0, 0, 0)",33115.4
"(2, 0, 4)","(0, 0, 0, 0)",33115.7
"(5, 2, 3)","(0, 0, 0, 0)",33117.2
"(6, 0, 1)","(0, 0, 0, 0)",33117.9
"(3, 0, 4)","(0, 0, 0, 0)",33118.4
"(6, 0, 2)","(0, 0, 0, 0)",33118.8
"(4, 0, 5)","(0, 0, 0, 0)",33119.1
"(4, 0, 4)","(0, 0, 0, 0)",33119.8
"(6, 1, 3)","(0, 0, 0, 0)",33120.3
"(4, 0, 1)","(0, 0, 0, 0)",33120.6
"(6, 0, 3)","(0, 0, 0, 0)",33120.7
"(3, 0, 5)","(0, 0, 0, 0)",33120.9
"(4, 0, 6)","(0, 0, 0, 0)",33121.5
"(3, 0, 2)","(0, 0, 0, 0)",33122.1
"(5, 0, 6)","(0, 0, 0, 0)",33122.2
"(3, 0, 6)","(0, 0, 0, 0)",33122.6
"(3, 0, 1)","(0, 0, 0, 0)",33123.2
"(6, 0, 6)","(0, 0, 0, 0)",33123.9
"(5, 2, 5)","(0, 0, 0, 0)",33124.8
"(5, 0, 2)","(0, 0, 0, 0)",33125.1
"(4, 0, 2)","(0, 0, 0, 0)",33127.4
"(3, 2, 6)","(0, 0, 0, 0)",33128.2
"(4, 0, 3)","(0, 0, 0, 0)",33128.7
"(1, 0, 6)","(0, 0, 0, 0)",33129.0
"(5, 0, 3)","(0, 0, 0, 0)",33129.3
"(6, 0, 5)","(0, 0, 0, 0)",33129.4
"(5, 0, 5)","(0, 0, 0, 0)",33130.8
"(6, 0, 4)","(0, 0, 0, 0)",33131.5
"(1, 1, 6)","(0, 0, 0, 0)",33132.8
"(0, 1, 5)","(0, 0, 0, 0)",33134.2
"(1, 1, 2)","(0, 0, 0, 0)",33134.4
"(6, 2, 5)","(0, 0, 0, 0)",33145.0
"(0, 2, 6)","(0, 0, 0, 0)",33148.1
"(1, 0, 5)","(0, 0, 0, 0)",33148.2
"(3, 2, 5)","(0, 0, 0, 0)",33150.5
"(3, 0, 3)","(0, 0, 0, 0)",33152.9
"(2, 0, 6)","(0, 0, 0, 0)",33158.3
"(4, 2, 6)","(0, 0, 0, 0)",33161.3
"(0, 1, 4)","(0, 0, 0, 0)",33173.7
"(1, 1, 5)","(0, 0, 0, 0)",33176.9
"(6, 2, 6)","(0, 0, 0, 0)",33179.5
"(1, 0, 4)","(0, 0, 0, 0)",33187.8
"(1, 2, 6)","(0, 0, 0, 0)",33189.6
"(0, 2, 5)","(0, 0, 0, 0)",33194.8
"(2, 0, 5)","(0, 0, 0, 0)",33195.3
"(1, 1, 1)","(0, 0, 0, 0)",33226.7
"(5, 0, 4)","(0, 0, 0, 0)",33236.2
"(3, 2, 4)","(0, 0, 0, 0)",33239.6
"(2, 2, 3)","(0, 0, 0, 0)",33243.4
"(4, 2, 5)","(0, 0, 0, 0)",33247.6
"(5, 2, 6)","(0, 0, 0, 0)",33251.0
"(1, 2, 2)","(0, 0, 0, 0)",33257.9
"(0, 1, 3)","(0, 0, 0, 0)",33313.6
"(2, 2, 6)","(0, 0, 0, 0)",33327.9
"(0, 2, 4)","(0, 0, 0, 0)",33332.7
"(1, 2, 5)","(0, 0, 0, 0)",33333.8
"(1, 0, 3)","(0, 0, 0, 0)",33334.4
"(6, 0, 0)","(0, 0, 0, 0)",33340.8
"(5, 0, 0)","(0, 0, 0, 0)",33348.2
"(2, 0, 2)","(0, 0, 0, 0)",33360.8
"(2, 0, 1)","(0, 0, 0, 0)",33362.1
"(1, 0, 1)","(0, 0, 0, 0)",33363.0
"(4, 0, 0)","(0, 0, 0, 0)",33363.4
"(1, 0, 2)","(0, 0, 0, 0)",33363.8
"(3, 0, 0)","(0, 0, 0, 0)",33365.1
"(2, 0, 0)","(0, 0, 0, 0)",33369.7
"(6, 1, 0)","(0, 0, 0, 0)",33381.7
"(6, 2, 1)","(0, 0, 0, 0)",33382.8
"(5, 1, 0)","(0, 0, 0, 0)",33399.4
"(5, 2, 1)","(0, 0, 0, 0)",33400.4
"(6, 2, 2)","(0, 0, 0, 0)",33404.3
"(4, 1, 0)","(0, 0, 0, 0)",33418.3
"(4, 2, 1)","(0, 0, 0, 0)",33419.1
"(5, 2, 2)","(0, 0, 0, 0)",33423.1
"(6, 2, 3)","(0, 0, 0, 0)",33427.0
"(0, 1, 2)","(0, 0, 0, 0)",33434.0
"(2, 2, 5)","(0, 0, 0, 0)",33434.1
"(0, 2, 3)","(0, 0, 0, 0)",33434.9
"(0, 1, 1)","(0, 0, 0, 0)",33435.1
"(0, 2, 2)","(0, 0, 0, 0)",33435.8
"(2, 2, 4)","(0, 0, 0, 0)",33438.1
"(1, 2, 3)","(0, 0, 0, 0)",33438.5
"(1, 2, 4)","(0, 0, 0, 0)",33438.9
"(6, 2, 4)","(0, 0, 0, 0)",33441.3
"(4, 2, 2)","(0, 0, 0, 0)",33450.7
"(3, 1, 0)","(0, 0, 0, 0)",33451.4
"(3, 2, 1)","(0, 0, 0, 0)",33451.9
"(2, 1, 0)","(0, 0, 0, 0)",33465.1
"(2, 2, 1)","(0, 0, 0, 0)",33465.5
"(3, 2, 2)","(0, 0, 0, 0)",33468.9
"(4, 2, 3)","(0, 0, 0, 0)",33469.7
"(5, 2, 4)","(0, 0, 0, 0)",33470.6
"(4, 2, 4)","(0, 0, 0, 0)",33477.1
"(2, 2, 2)","(0, 0, 0, 0)",33485.3
"(1, 1, 0)","(0, 0, 0, 0)",33486.8
"(1, 2, 1)","(0, 0, 0, 0)",33487.1
"(3, 2, 3)","(0, 0, 0, 0)",33491.7
"(1, 0, 0)","(0, 0, 0, 0)",33662.3
"(0, 0, 6)","(0, 0, 0, 0)",33713.1
"(0, 0, 5)","(0, 0, 0, 0)",33787.3
"(0, 1, 0)","(0, 0, 0, 0)",33916.6
"(0, 2, 1)","(0, 0, 0, 0)",33916.6
"(0, 0, 4)","(0, 0, 0, 0)",33934.1
"(6, 2, 0)","(0, 0, 0, 0)",34037.1
"(0, 0, 3)","(0, 0, 0, 0)",34143.5
"(5, 2, 0)","(0, 0, 0, 0)",34162.1
"(4, 2, 0)","(0, 0, 0, 0)",34281.1
"(3, 2, 0)","(0, 0, 0, 0)",34454.2
"(0, 0, 2)","(0, 0, 0, 0)",34583.1
"(2, 2, 0)","(0, 0, 0, 0)",34676.9
"(1, 2, 0)","(0, 0, 0, 0)",35218.2
"(0, 0, 1)","(0, 0, 0, 0)",35423.3
"(0, 2, 0)","(0, 0, 0, 0)",36876.8
"(0, 0, 0)","(0, 0, 0, 0)",37018.3
